-32.037	-2.441	-85.75
-32.227	-2.353	-86.671
-32.271	-2.163	-85.823
-32.286	-2.061	-86.042
-31.994	-2.265	-86.334
-32.476	-2.543	-86.071
-31.847	-2.28	-85.589
-32.359	-2.689	-86.349
-31.804	-2.368	-86.524
-31.804	-2.455	-85.896
-32.154	-2.309	-86.203
-31.994	-2.134	-85.779
-31.73	-2.382	-85.516
-32.198	-2.002	-86.685
-32.578	-2.382	-85.721
-32.213	-2.368	-85.735
-32.213	-2.368	-85.384
-31.95	-2.061	-85.969
-31.862	-2.368	-85.969
-32.184	-2.368	-85.516
-31.584	-2.002	-85.267
-31.935	-1.988	-85.764
-31.994	-2.075	-86.203
-32.023	-2.719	-85.969
-31.54	-2.514	-86.904
-31.745	-2.85	-86.554
-32.008	-2.514	-86.042
-32.023	-2.645	-86.524
-31.847	-2.222	-86.787
-31.701	-2.529	-86.597
-31.424	-2.748	-86.539
-31.716	-2.602	-85.867
-31.35	-2.952	-86.495
-31.716	-2.251	-86.393
-31.818	-2.441	-86.934
-31.599	-2.397	-86.7
-32.213	-2.309	-86.539
-31.906	-2.265	-86.013
-31.891	-2.382	-85.969
-31.277	-3.172	-86.057
-31.19	-3.04	-86.042
-31.614	-2.543	-86.013
-31.76	-2.982	-85.75
-31.935	-2.733	-86.364
-31.19	-2.762	-85.662
-31.438	-2.748	-86.437
-31.453	-2.572	-86.32
-32.052	-2.792	-85.004
-32.008	-2.645	-85.516
-32.008	-3.069	-85.384
-31.862	-2.835	-85.077
-31.818	-2.675	-85.867
-31.789	-2.762	-85.691
-31.833	-2.631	-85.896
-32.081	-2.909	-86.32
-31.92	-2.529	-85.589
-31.891	-2.835	-85.735
-31.95	-2.733	-86.144
-31.833	-2.748	-87.065
-32.198	-2.792	-86.641
-31.877	-2.719	-86.232
-32.096	-2.572	-86.495
-32.564	-2.426	-86.7
-31.994	-2.675	-86.027
-31.774	-2.879	-85.881
-31.833	-2.967	-85.691
-31.424	-2.777	-86.247
-31.862	-2.616	-85.984
-31.555	-2.777	-86.466
-32.067	-3.069	-86.524
-31.92	-2.748	-86.013
-32.081	-2.602	-85.837
-31.979	-3.186	-85.808
-31.92	-2.455	-85.472
-31.716	-2.66	-86.159
-32.257	-2.879	-85.984
-31.862	-3.011	-86.174
-32.008	-2.821	-86.597
-31.599	-2.704	-86.539
